"order","header","sdkPath","partition","namespace","status"
"218","winconp.h","/um/winconp.h","Console","Windows.Win32.System.Console","queued"
"219","wincontypes.h","/um/wincontypes.h","Console","Windows.Win32.System.Console","queued"
"220","windowsx.h","/shared/windowsx.h","Controls","Windows.Win32.UI.Controls","queued"
"221","CommCtrl.h","/um/CommCtrl.h","Controls","Windows.Win32.UI.Controls","queued"
"222","commoncontrols.h","/um/commoncontrols.h","Controls","Windows.Win32.UI.Controls","queued"
"223","custcntl.h","/um/custcntl.h","Controls","Windows.Win32.UI.Controls","queued"
"224","dlgs.h","/um/dlgs.h","Controls","Windows.Win32.UI.Controls","queued"
"225","dpa_dsa.h","/um/dpa_dsa.h","Controls","Windows.Win32.UI.Controls","queued"
"226","prsht.h","/um/prsht.h","Controls","Windows.Win32.UI.Controls","queued"
"227","Uxtheme.h","/um/Uxtheme.h","Controls","Windows.Win32.UI.Controls","queued"
"228","vsstyle.h","/um/vsstyle.h","Controls","Windows.Win32.UI.Controls","queued"
"229","vssym32.h","/um/vssym32.h","Controls","Windows.Win32.UI.Controls","queued"
"230","Richedit.h","/um/Richedit.h","Controls.RichEdit","Windows.Win32.UI.Controls.RichEdit","queued"
"231","RichOle.h","/um/RichOle.h","Controls.RichEdit","Windows.Win32.UI.Controls.RichEdit","queued"
"232","TextServ.h","/um/TextServ.h","Controls.RichEdit","Windows.Win32.UI.Controls.RichEdit","queued"
"233","TOM.h","/um/TOM.h","Controls.RichEdit","Windows.Win32.UI.Controls.RichEdit","queued"
"234","ComAdmin.h","/um/ComAdmin.h","Cos","Windows.Win32.System.ComponentServices","queued"
"235","ComSvcs.h","/um/ComSvcs.h","Cos","Windows.Win32.System.ComponentServices","queued"
"236","Mtxdm.h","/um/Mtxdm.h","Cos","Windows.Win32.System.ComponentServices","queued"
"237","winsmcrd.h","/shared/winsmcrd.h","Credentials","Windows.Win32.Security.Credentials","queued"
"238","credssp.h","/um/credssp.h","Credentials","Windows.Win32.Security.Credentials","queued"
"239","keycredmgr.h","/um/keycredmgr.h","Credentials","Windows.Win32.Security.Credentials","queued"
"240","wincred.h","/um/wincred.h","Credentials","Windows.Win32.Security.Credentials","queued"
"241","winscard.h","/um/winscard.h","Credentials","Windows.Win32.Security.Credentials","queued"
"242","dde.h","/um/dde.h","DataXchg","Windows.Win32.System.DataExchange","queued"
"243","ddeml.h","/um/ddeml.h","DataXchg","Windows.Win32.System.DataExchange","queued"
"244","bugcodes.h","/shared/bugcodes.h","Debug","Windows.Win32.System.Diagnostics.Debug","queued"
"245","dbgprop.h","/um/dbgprop.h","Debug","Windows.Win32.System.Diagnostics.Debug","queued"
"246","debugapi.h","/um/debugapi.h","Debug","Windows.Win32.System.Diagnostics.Debug","queued"
"247","errhandlingapi.h","/um/errhandlingapi.h","Debug","Windows.Win32.System.Diagnostics.Debug","queued"
"248","ImageHlp.h","/um/ImageHlp.h","Debug","Windows.Win32.System.Diagnostics.Debug","queued"
"249","mindumpdef.h","/um/mindumpdef.h","Debug","Windows.Win32.System.Diagnostics.Debug","queued"
"250","minidumpapiset.h","/um/minidumpapiset.h","Debug","Windows.Win32.System.Diagnostics.Debug","queued"
"251","objsafe.h","/um/objsafe.h","Debug","Windows.Win32.System.Diagnostics.Debug","queued"
"252","utilapiset.h","/um/utilapiset.h","Debug","Windows.Win32.System.Diagnostics.Debug","queued"
"253","wct.h","/um/wct.h","Debug","Windows.Win32.System.Diagnostics.Debug","queued"
"254","wheadef.h","/um/wheadef.h","Debug","Windows.Win32.System.Diagnostics.Debug","queued"
"255","activaut.h","/um/activaut.h","Debug.ActiveScript","Windows.Win32.System.Diagnostics.Debug.ActiveScript","queued"
"256","activdbg.h","/um/activdbg.h","Debug.ActiveScript","Windows.Win32.System.Diagnostics.Debug.ActiveScript","queued"
"257","activdbg100.h","/um/activdbg100.h","Debug.ActiveScript","Windows.Win32.System.Diagnostics.Debug.ActiveScript","queued"
"258","activprof.h","/um/activprof.h","Debug.ActiveScript","Windows.Win32.System.Diagnostics.Debug.ActiveScript","queued"
"259","activscp.h","/um/activscp.h","Debug.ActiveScript","Windows.Win32.System.Diagnostics.Debug.ActiveScript","queued"
"260","jscript9diag.h","/um/jscript9diag.h","Debug.ActiveScript","Windows.Win32.System.Diagnostics.Debug.ActiveScript","queued"
"261","DbgEng.h","/um/DbgEng.h","Debug.Extensions","Windows.Win32.System.Diagnostics.Debug.Extensions","queued"
"262","DbgModel.h","/um/DbgModel.h","Debug.Extensions","Windows.Win32.System.Diagnostics.Debug.Extensions","queued"
"263","extsfns.h","/um/extsfns.h","Debug.Extensions","Windows.Win32.System.Diagnostics.Debug.Extensions","queued"
"264","WDBGEXTS.H","/um/WDBGEXTS.H","Debug.Extensions","Windows.Win32.System.Diagnostics.Debug.Extensions","queued"
"265","webapplication.h","/winrt/webapplication.h","Debug.WebApp","Windows.Win32.System.Diagnostics.Debug.WebApp","queued"
"266","ddpbackup.h","/um/ddpbackup.h","Dedup","Windows.Win32.Storage.DataDeduplication","queued"
"267","ddpchunk.h","/um/ddpchunk.h","Dedup","Windows.Win32.Storage.DataDeduplication","queued"
"268","ddpcommon.h","/um/ddpcommon.h","Dedup","Windows.Win32.Storage.DataDeduplication","queued"
